date,campaign_id,impressions,clicks,spend,conversions,revenue
2026-01-08,1,11532,167,135.11,4,272.79
2026-01-09,1,13199,180,140.61,6,303.67
2026-01-10,1,8923,135,122.76,5,285.65
2026-01-11,1,7846,121,97.19,4,229.43
2026-01-12,1,8277,124,119.93,4,219.01
2026-01-13,1,9971,152,140.0,6,332.97
2026-01-14,1,6418,104,97.22,2,131.28
2026-01-15,1,8150,123,100.92,4,262.45
2026-01-16,1,9673,146,126.08,5,281.27
2026-01-17,1,9679,151,122.87,5,272.1
2026-01-18,1,10164,159,138.45,5,296.4
2026-01-19,1,9643,144,124.67,4,193.61
2026-01-20,1,9942,140,119.31,5,331.0
2026-01-21,1,10905,151,135.91,3,188.52
2026-01-22,1,10201,140,120.73,5,272.13
2026-01-23,1,7197,108,99.09,2,105.12
2026-01-24,1,7080,118,117.57,3,130.6
2026-01-25,1,9900,145,134.1,5,298.17
2026-01-26,1,8535,133,126.5,4,269.49
2026-01-27,1,9269,150,119.62,4,270.41
2026-01-28,1,9902,162,138.05,5,313.97
2026-01-29,1,10151,155,139.92,5,233.3
2026-01-30,1,7183,100,96.68,2,101.94
2026-01-31,1,8951,134,132.94,4,200.86
2026-02-01,1,9128,135,101.83,5,277.7
2026-02-02,1,8836,130,116.81,5,261.13
2026-02-03,1,8423,139,105.38,4,214.7
2026-02-04,1,9796,141,132.23,6,334.94
2026-02-05,1,11495,158,133.7,3,155.92
2026-02-06,1,8119,133,116.42,4,193.98
2026-02-07,1,9962,152,119.88,5,272.53
2026-02-08,1,9180,130,101.77,4,190.45
2026-02-09,1,12692,185,141.78,5,323.06
2026-02-10,1,11062,171,128.18,4,227.96
2026-02-11,1,8762,126,121.84,4,188.59
2026-02-12,1,8089,120,110.15,3,202.53
2026-02-13,1,9045,129,104.22,5,292.89
2026-02-14,1,9393,132,120.32,4,193.69
2026-02-15,1,8133,113,99.02,4,166.7
2026-02-16,1,6225,101,100.63,3,200.98
2026-02-17,1,9737,143,112.81,5,333.4
2026-02-18,1,7874,119,111.17,4,240.51
2026-02-19,1,12293,170,137.34,4,204.19
2026-02-20,1,9107,151,131.3,5,338.01
2026-02-21,1,9833,140,134.39,3,168.48
2026-02-22,1,9329,134,112.44,3,133.51
2026-02-23,1,7824,114,102.03,4,228.59
2026-02-24,1,8088,128,113.09,4,178.77
2026-02-25,1,10869,150,122.06,5,241.31
2026-02-26,1,6560,103,103.09,3,149.72
2026-02-27,1,12102,170,141.32,5,338.43
2026-02-28,1,8965,131,120.67,5,296.71
2026-03-01,1,8549,129,96.55,5,324.79
2026-03-02,1,12084,185,140.51,7,333.51
2026-03-03,1,9527,152,135.79,4,225.37
2026-03-04,1,10228,151,118.76,4,181.92
2026-03-05,1,13107,185,138.9,6,378.74
2026-03-06,1,8446,130,126.68,5,307.93
2026-03-07,1,9056,144,143.94,5,284.99
2026-03-08,1,11654,160,141.87,5,227.98
2026-03-09,1,8651,124,120.42,4,169.57
2026-03-10,1,9883,159,124.45,4,204.29
2026-03-11,1,10633,152,142.69,3,163.35
2026-03-12,1,10732,149,116.29,5,229.75
2026-03-13,1,8600,128,120.78,3,166.24
2026-03-14,1,10144,169,138.35,5,235.98
2026-03-15,1,7710,125,103.4,5,326.42
2026-03-16,1,10097,148,130.88,5,331.31
2026-03-17,1,8525,120,101.81,4,229.38
2026-03-18,1,7768,127,99.96,4,247.86
2026-03-19,1,7943,119,106.85,3,183.47
2026-03-20,1,9727,156,137.15,6,361.21
2026-03-21,1,9426,144,112.73,5,227.48
2026-03-22,1,9995,162,131.67,4,200.2
2026-03-23,1,9724,157,136.38,5,339.93
2026-03-24,1,8180,128,122.94,4,167.39
2026-03-25,1,10383,161,130.39,5,331.17
2026-03-26,1,12540,182,136.67,6,305.61
2026-03-27,1,10309,148,111.86,3,144.55
2026-03-28,1,8977,137,112.03,5,328.51
2026-03-29,1,7111,113,112.26,2,97.28
2026-03-30,1,6873,104,96.85,3,130.27
2026-03-31,1,9203,153,129.24,4,189.13
2026-04-01,1,8905,143,118.25,4,243.3
2026-04-02,1,9461,154,128.69,4,185.38
2026-04-03,1,12952,177,131.24,6,303.81
2026-04-04,1,8623,136,112.68,5,211.3
2026-04-05,1,8494,120,119.52,3,140.15
2026-04-06,1,9211,141,109.13,4,210.19
2026-04-07,1,8533,124,99.1,4,197.85
2026-04-08,1,8149,122,119.16,4,199.97
2026-04-09,1,8708,119,112.3,5,241.65
2026-04-10,1,12317,184,141.48,6,348.04
2026-04-11,1,7723,123,106.31,4,221.5
2026-04-12,1,10461,146,134.0,4,257.46
2026-04-13,1,9784,150,111.64,5,227.15
2026-04-14,1,11433,164,122.46,4,237.27
2026-04-15,1,7376,122,98.93,4,184.69
2026-04-16,1,8353,129,108.84,4,170.9
2026-04-17,1,7540,110,104.91,3,126.14
2026-04-18,1,8068,120,106.6,3,136.54
2026-04-19,1,8414,139,111.58,3,172.1
2026-04-20,1,10592,167,129.82,6,279.07
2026-04-21,1,10195,155,135.19,6,284.57
2026-04-22,1,9503,153,142.46,6,317.32
2026-04-23,1,12468,171,137.1,6,403.91
2026-04-24,1,9282,129,125.12,5,217.09
2026-04-25,1,9812,158,130.31,4,185.82
2026-04-26,1,11477,190,141.5,7,464.63
2026-04-27,1,9535,147,133.89,3,196.91
2026-04-28,1,9832,159,136.34,6,407.5
2026-02-02,2,4821,71,58.94,1,50.22
2026-02-03,2,4431,67,54.12,0,0.0
2026-02-04,2,3948,62,60.73,0,0.0
2026-02-05,2,5472,84,70.14,1,53.82
2026-02-06,2,4246,59,59.49,1,43.78
2026-02-07,2,4815,66,60.83,1,57.8
2026-02-08,2,4900,68,50.87,1,54.2
2026-02-09,2,5052,73,55.73,1,64.58
2026-02-10,2,4620,68,58.05,1,57.43
2026-02-11,2,4335,72,62.17,1,42.19
2026-02-12,2,3919,62,59.17,1,53.12
2026-02-13,2,4489,66,65.65,0,0.0
2026-02-14,2,3721,61,56.84,1,44.3
2026-02-15,2,4443,68,50.54,1,48.47
2026-02-16,2,5700,79,67.21,1,66.32
2026-02-17,2,4878,69,53.25,0,0.0
2026-02-18,2,4748,65,48.85,1,55.43
2026-02-19,2,6770,94,70.42,1,67.95
2026-02-20,2,3434,50,49.13,1,58.24
2026-02-21,2,3961,65,49.05,1,56.3
2026-02-22,2,4728,71,60.4,1,56.01
2026-02-23,2,3852,64,59.14,1,59.81
2026-02-24,2,3777,56,52.28,1,48.92
2026-02-25,2,4102,67,63.51,0,0.0
2026-02-26,2,6475,92,70.57,1,60.32
2026-02-27,2,4728,71,64.48,1,51.69
2026-02-28,2,5443,83,71.18,1,51.04
2026-03-01,2,5424,79,65.82,1,47.98
2026-03-02,2,4696,68,55.29,1,55.86
2026-03-03,2,5515,79,71.34,1,47.92
2026-03-04,2,5379,79,59.32,1,44.36
2026-03-05,2,3977,62,51.05,1,53.47
2026-03-06,2,3969,58,55.09,0,0.0
2026-03-07,2,4750,78,67.97,1,62.41
2026-03-08,2,5321,84,65.47,1,49.4
2026-03-09,2,3953,58,55.52,1,60.47
2026-03-10,2,5361,82,65.1,1,45.81
2026-03-11,2,3877,57,50.44,1,58.2
2026-03-12,2,4741,65,55.27,1,66.61
2026-03-13,2,3811,63,53.82,1,45.92
2026-03-14,2,4615,70,58.33,1,42.88
2026-03-15,2,3805,56,55.37,1,52.64
2026-03-16,2,5840,87,71.62,1,49.1
2026-03-17,2,5673,85,63.96,1,51.96
2026-03-18,2,4009,61,53.29,0,0.0
2026-03-19,2,5203,80,67.21,1,42.05
2026-03-20,2,3821,56,53.67,0,0.0
2026-03-21,2,3239,53,52.55,1,44.64
2026-03-22,2,5566,76,62.44,1,50.08
2026-03-23,2,4322,71,69.54,1,58.5
2026-03-24,2,3687,52,50.39,1,54.61
2026-03-25,2,4200,65,62.27,1,64.76
2026-03-26,2,4801,68,50.39,0,0.0
2026-03-27,2,5418,74,64.46,1,54.33
