date,channel,objective,campaign_name,impressions,clicks,spend,conversions,revenue
2026-01-06,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4952,29,87.50,1,62.35
2026-01-07,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3343,22,78.68,0,0.00
2026-01-07,Meta Ads,Traffic,Meta Traffic Jan,2702,40,39.71,1,43.77
2026-01-08,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4401,25,81.50,0,0.00
2026-01-08,Meta Ads,Conversions,Meta Conversions Jan,11532,167,135.11,4,272.79
2026-01-08,Meta Ads,Traffic,Meta Traffic Jan,3757,57,47.92,1,50.79
2026-01-09,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3827,21,65.59,0,0.00
2026-01-09,Meta Ads,Conversions,Meta Conversions Jan,13199,180,140.61,6,303.67
2026-01-09,Meta Ads,Traffic,Meta Traffic Jan,3521,58,43.54,1,56.05
2026-01-10,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3499,20,68.99,1,65.56
2026-01-10,Meta Ads,Conversions,Meta Conversions Jan,8923,135,122.76,5,285.65
2026-01-10,Meta Ads,Traffic,Meta Traffic Jan,3311,48,44.00,1,56.34
2026-01-11,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4289,25,90.17,0,0.00
2026-01-11,Meta Ads,Traffic,Meta Traffic Jan,2739,39,37.41,0,0.00
2026-01-11,Meta Ads,Conversions,Meta Conversions Jan,7846,121,97.19,4,229.43
2026-01-12,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,5094,28,91.86,1,61.74
2026-01-12,Meta Ads,Traffic,Meta Traffic Jan,3347,49,45.74,2,128.01
2026-01-12,Meta Ads,Conversions,Meta Conversions Jan,8277,124,119.93,4,219.01
2026-01-13,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3165,19,71.55,0,0.00
2026-01-13,Meta Ads,Conversions,Meta Conversions Jan,9971,152,140.00,6,332.97
2026-01-13,Meta Ads,Traffic,Meta Traffic Jan,2692,39,39.22,1,57.93
2026-01-14,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3116,20,72.07,0,0.00
2026-01-14,Meta Ads,Conversions,Meta Conversions Jan,6418,104,97.22,2,131.28
2026-01-14,Meta Ads,Traffic,Meta Traffic Jan,2732,43,33.80,1,43.17
2026-01-15,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4364,26,87.74,0,0.00
2026-01-15,Meta Ads,Conversions,Meta Conversions Jan,8150,123,100.92,4,262.45
2026-01-15,Meta Ads,Traffic,Meta Traffic Jan,4005,56,42.36,1,56.14
2026-01-16,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4478,29,84.03,1,54.91
2026-01-16,Meta Ads,Conversions,Meta Conversions Jan,9673,146,126.08,5,281.27
2026-01-16,Meta Ads,Traffic,Meta Traffic Jan,2983,43,32.98,1,53.50
